Assembly	Level	WGS	BioSample	Taxonomy	RUG
GCA_902797755.1	Contig	CADBUG000000000	SAMEA6152444	Bacillus licheniformis	RUG14306
GCA_902791925.1	Contig	CADAXU000000000	SAMEA6151858	Bifidobacterium merycicum	RUG13721
GCA_902795495.1	Contig	CADBLG000000000	SAMEA6152218	Campylobacter fetus	RUG14080
GCA_902798835.1	Scaffold	CADBYN000000000	SAMEA6152548	Candidatus Avelusimicrobium bubulum	RUG14410
GCA_902756455.1	Scaffold	CACVRB000000000	SAMEA6148290	Candidatus Avelusimicrobium caledoniensis	RUG10157
GCA_902765225.1	Scaffold	CACWYV000000000	SAMEA6149180	Candidatus Avelusimicrobium intestinale	RUG11046
GCA_902757105.1	Scaffold	CACVTK000000000	SAMEA6148355	Candidatus Avelusimicrobium luingense	RUG10222
GCA_902761975.1	Scaffold	CACWMG000000000	SAMEA6148847	Candidatus Avelusimicrobium pecoris	RUG10714
GCA_902764935.1	Contig	CACWXQ000000000	SAMEA6149148	Candidatus Avelusimicrobium ruminicola	RUG11014
GCA_902794895.1	Scaffold	CADBIY000000000	SAMEA6152155	Candidatus Avelusimicrobium vaccinum	RUG14017
GCA_902783505.1	Contig	CACZRI000000000	SAMEA6151018	Candidatus Colimorpha enterica	RUG12882
GCA_902791965.1	Scaffold	CADAXZ000000000	SAMEA6151862	Candidatus Proelusimicrobium bovinum	RUG13725
GCA_902792865.1	Scaffold	CADBBJ000000000	SAMEA6151955	Candidatus Ruminimicrobiellum tauri	RUG13817
GCA_902760015.1	Contig	CACWEU000000000	SAMEA6148651	Candidatus Ruminimicrobium bovinum	RUG10518
GCA_902772725.1	Contig	CACYBS000000000	SAMEA6149930	Erysipelothrix rhusiopathiae	RUG11795
GCA_902795695.1	Contig	CADBMB000000000	SAMEA6152234	Erysipelothrix rhusiopathiae	RUG14096
GCA_902781835.1	Scaffold	CACZKR000000000	SAMEA6150842	Erysipelothrix rhusiopathiae	RUG12706
GCA_902797585.1	Contig	CADBTK000000000	SAMEA6152422	Erysipelothrix rhusiopathiae	RUG14284
GCA_902762915.1	Scaffold	CACWQI000000000	SAMEA6148948	Eubacterium pyruvativorans	RUG10814
GCA_902759705.1	Contig	CACWDX000000000	SAMEA6148627	Eubacterium ruminantium	RUG10494
GCA_902785545.1	Scaffold	CACZYW000000000	SAMEA6151213	Eubacterium ruminantium	RUG13076
GCA_902755055.1	Scaffold	CACVMB000000000	SAMEA6148172	Fibrobacter succinogenes	RUG10039
GCA_902756345.1	Scaffold	CACVQR000000000	SAMEA6148285	Fibrobacter succinogenes	RUG10152
GCA_902761355.1	Contig	CACWJY000000000	SAMEA6148783	Fibrobacter succinogenes	RUG10650
GCA_902762795.1	Scaffold	CACWPM000000000	SAMEA6148924	Fibrobacter succinogenes	RUG10790
GCA_902762305.1	Contig	CACWNW000000000	SAMEA6148885	Fibrobacter succinogenes	RUG10752
GCA_902771595.1	Scaffold	CACXXH000000000	SAMEA6149818	Fibrobacter succinogenes	RUG11683
GCA_902771215.1	Scaffold	CACXVX000000000	SAMEA6149778	Fibrobacter succinogenes	RUG11643
GCA_902768715.1	Scaffold	CACXMH000000000	SAMEA6149521	Fibrobacter succinogenes	RUG11387
GCA_902769685.1	Contig	CACXPW000000000	SAMEA6149623	Fibrobacter succinogenes	RUG11489
GCA_902768325.1	Scaffold	CACXKY000000000	SAMEA6149491	Fibrobacter succinogenes	RUG11357
GCA_902767785.1	Scaffold	CACXIR000000000	SAMEA6149429	Fibrobacter succinogenes	RUG11295
GCA_902766495.1	Contig	CACXDW000000000	SAMEA6149307	Fibrobacter succinogenes	RUG11173
GCA_902781185.1	Scaffold	CACZII000000000	SAMEA6150773	Fibrobacter succinogenes	RUG12637
GCA_902780945.1	Scaffold	CACZHM000000000	SAMEA6150761	Fibrobacter succinogenes	RUG12625
GCA_902779965.1	Scaffold	CACZDK000000000	SAMEA6150654	Fibrobacter succinogenes	RUG12518
GCA_902779055.1	Scaffold	CACZAD000000000	SAMEA6150575	Fibrobacter succinogenes	RUG12439
GCA_902776765.1	Scaffold	CACYRP000000000	SAMEA6150343	Fibrobacter succinogenes	RUG12208
GCA_902791455.1	Scaffold	CADAVW000000000	SAMEA6151815	Fibrobacter succinogenes	RUG13678
GCA_902791475.1	Scaffold	CADAWC000000000	SAMEA6151811	Fibrobacter succinogenes	RUG13674
GCA_902795385.1	Scaffold	CADBLC000000000	SAMEA6152200	Fibrobacter succinogenes	RUG14062
GCA_902796785.1	Contig	CADBQJ000000000	SAMEA6152343	Fibrobacter succinogenes	RUG14205
GCA_902793175.1	Scaffold	CADBCL000000000	SAMEA6151985	Fibrobacter succinogenes	RUG13847
GCA_902794535.1	Contig	CADBHQ000000000	SAMEA6152119	Fibrobacter succinogenes	RUG13981
GCA_902801555.1	Scaffold	CADCIS000000000	SAMEA6152822	Fibrobacter succinogenes	RUG14683
GCA_902799745.1	Scaffold	CADCBQ000000000	SAMEA6152635	Fibrobacter succinogenes	RUG14497
GCA_902800815.1	Scaffold	CADCGB000000000	SAMEA6152748	Fibrobacter succinogenes	RUG14609
GCA_902800095.1	Scaffold	CADCDF000000000	SAMEA6152679	Fibrobacter succinogenes	RUG14540
GCA_902800345.1	Scaffold	CADCDO000000000	SAMEA6152701	Fibrobacter succinogenes	RUG14562
GCA_902796085.1	Contig	CADBNU000000000	SAMEA6152271	Heyndrickxia coagulans	RUG14133
GCA_902787035.1	Scaffold	CADAEU000000000	SAMEA6151362	Kandleria vitulina	RUG13225
GCA_902766645.1	Contig	CACXEI000000000	SAMEA6149318	Lachnobacterium bovis	RUG11184
GCA_902797765.1	Contig	CADBUC000000000	SAMEA6152441	Lentilactobacillus buchneri	RUG14303
GCA_902803025.1	Contig	CADCOK000000000	SAMEA6152973	Ligilactobacillus ruminis	RUG14834
GCA_902795485.1	Contig	CADBLJ000000000	SAMEA6152217	Ligilactobacillus ruminis	RUG14079
GCA_902801295.1	Contig	CADCHN000000000	SAMEA6152793	Oscillospiraceae bacterium	RUG14654
GCA_902802215.1	Scaffold	CADCLH000000000	SAMEA6152893	Oscillospiraceae bacterium	RUG14754
GCA_902802085.1	Scaffold	CADCKM000000000	SAMEA6152876	Oscillospiraceae bacterium	RUG14737
GCA_902802635.1	Scaffold	CADCMU000000000	SAMEA6152931	Oscillospiraceae bacterium	RUG14792
GCA_902802375.1	Scaffold	CADCLS000000000	SAMEA6152907	Oscillospiraceae bacterium	RUG14768
GCA_902802325.1	Scaffold	CADCLV000000000	SAMEA6152901	Oscillospiraceae bacterium	RUG14762
GCA_902802045.1	Contig	CADCKQ000000000	SAMEA6152869	Oscillospiraceae bacterium	RUG14730
GCA_902801755.1	Scaffold	CADCJM000000000	SAMEA6152843	Oscillospiraceae bacterium	RUG14704
GCA_902804015.1	Contig	CADCSJ000000000	SAMEA6153075	Oscillospiraceae bacterium	RUG14936
GCA_902803825.1	Contig	CADCRR000000000	SAMEA6153057	Oscillospiraceae bacterium	RUG14918
GCA_902803695.1	Contig	CADCQX000000000	SAMEA6153033	Oscillospiraceae bacterium	RUG14894
GCA_902803515.1	Contig	CADCQN000000000	SAMEA6153023	Oscillospiraceae bacterium	RUG14884
GCA_902803575.1	Contig	CADCQK000000000	SAMEA6153020	Oscillospiraceae bacterium	RUG14881
GCA_902803365.1	Contig	CADCPU000000000	SAMEA6153007	Oscillospiraceae bacterium	RUG14868
GCA_902803095.1	Contig	CADCOM000000000	SAMEA6152968	Oscillospiraceae bacterium	RUG14829
GCA_902803075.1	Contig	CADCOJ000000000	SAMEA6152974	Oscillospiraceae bacterium	RUG14835
GCA_902799945.1	Scaffold	CADCCC000000000	SAMEA6152654	Oscillospiraceae bacterium	RUG14516
GCA_902798545.1	Scaffold	CADBWQ000000000	SAMEA6152514	Oscillospiraceae bacterium	RUG14376
GCA_902798245.1	Scaffold	CADBVX000000000	SAMEA6152498	Oscillospiraceae bacterium	RUG14360
GCA_902797875.1	Contig	CADBUL000000000	SAMEA6152458	Oscillospiraceae bacterium	RUG14320
GCA_902797915.1	Contig	CADBUK000000000	SAMEA6152449	Oscillospiraceae bacterium	RUG14311
GCA_902797555.1	Contig	CADBTM000000000	SAMEA6152421	Oscillospiraceae bacterium	RUG14283
GCA_902797465.1	Contig	CADBTB000000000	SAMEA6152407	Oscillospiraceae bacterium	RUG14269
GCA_902798695.1	Contig	CADBXK000000000	SAMEA6152527	Oscillospiraceae bacterium	RUG14389
GCA_902798675.1	Scaffold	CADBXQ000000000	SAMEA6152530	Oscillospiraceae bacterium	RUG14392
GCA_902799525.1	Contig	CADCAN000000000	SAMEA6152610	Oscillospiraceae bacterium	RUG14472
GCA_902799075.1	Scaffold	CADBYZ000000000	SAMEA6152567	Oscillospiraceae bacterium	RUG14429
GCA_902800535.1	Contig	CADCEL000000000	SAMEA6152713	Oscillospiraceae bacterium	RUG14574
GCA_902800465.1	Scaffold	CADCEU000000000	SAMEA6152717	Oscillospiraceae bacterium	RUG14578
GCA_902791215.1	Scaffold	CADAUZ000000000	SAMEA6151787	Oscillospiraceae bacterium	RUG13650
GCA_902791335.1	Scaffold	CADAVL000000000	SAMEA6151797	Oscillospiraceae bacterium	RUG13660
GCA_902791235.1	Scaffold	CADAUV000000000	SAMEA6151783	Oscillospiraceae bacterium	RUG13646
GCA_902791195.1	Scaffold	CADAVA000000000	SAMEA6151780	Oscillospiraceae bacterium	RUG13643
GCA_902791585.1	Scaffold	CADAWO000000000	SAMEA6151820	Oscillospiraceae bacterium	RUG13683
GCA_902791055.1	Scaffold	CADAUL000000000	SAMEA6151779	Oscillospiraceae bacterium	RUG13642
GCA_902790825.1	Scaffold	CADATF000000000	SAMEA6151745	Oscillospiraceae bacterium	RUG13608
GCA_902790685.1	Contig	CADASX000000000	SAMEA6151738	Oscillospiraceae bacterium	RUG13601
GCA_902790675.1	Contig	CADASU000000000	SAMEA6151736	Oscillospiraceae bacterium	RUG13599
GCA_902789565.1	Scaffold	CADAOS000000000	SAMEA6151627	Oscillospiraceae bacterium	RUG13490
GCA_902789835.1	Scaffold	CADAPN000000000	SAMEA6151645	Oscillospiraceae bacterium	RUG13508
GCA_902789745.1	Scaffold	CADAPH000000000	SAMEA6151635	Oscillospiraceae bacterium	RUG13498
GCA_902789515.1	Scaffold	CADAOK000000000	SAMEA6151614	Oscillospiraceae bacterium	RUG13477
GCA_902789065.1	Scaffold	CADAMR000000000	SAMEA6151571	Oscillospiraceae bacterium	RUG13434
GCA_902790375.1	Scaffold	CADARY000000000	SAMEA6151708	Oscillospiraceae bacterium	RUG13571
GCA_902790325.1	Scaffold	CADARP000000000	SAMEA6151690	Oscillospiraceae bacterium	RUG13553
GCA_902789925.1	Scaffold	CADAPX000000000	SAMEA6151651	Oscillospiraceae bacterium	RUG13514
GCA_902787025.1	Scaffold	CADAER000000000	SAMEA6151368	Oscillospiraceae bacterium	RUG13231
GCA_902787435.1	Scaffold	CADAGK000000000	SAMEA6151403	Oscillospiraceae bacterium	RUG13266
GCA_902787275.1	Scaffold	CADAGA000000000	SAMEA6151398	Oscillospiraceae bacterium	RUG13261
GCA_902786615.1	Scaffold	CADADE000000000	SAMEA6151321	Oscillospiraceae bacterium	RUG13184
GCA_902786285.1	Scaffold	CADABX000000000	SAMEA6151292	Oscillospiraceae bacterium	RUG13155
GCA_902786255.1	Scaffold	CADABY000000000	SAMEA6151293	Oscillospiraceae bacterium	RUG13156
GCA_902789095.1	Scaffold	CADAMY000000000	SAMEA6151574	Oscillospiraceae bacterium	RUG13437
GCA_902788995.1	Scaffold	CADAMO000000000	SAMEA6151564	Oscillospiraceae bacterium	RUG13427
GCA_902788775.1	Scaffold	CADALP000000000	SAMEA6151542	Oscillospiraceae bacterium	RUG13405
GCA_902788505.1	Scaffold	CADAKH000000000	SAMEA6151513	Oscillospiraceae bacterium	RUG13376
GCA_902787975.1	Scaffold	CADAIP000000000	SAMEA6151461	Oscillospiraceae bacterium	RUG13324
GCA_902787755.1	Scaffold	CADAHL000000000	SAMEA6151431	Oscillospiraceae bacterium	RUG13294
GCA_902795345.1	Scaffold	CADBKO000000000	SAMEA6152191	Oscillospiraceae bacterium	RUG14053
GCA_902795765.1	Contig	CADBMQ000000000	SAMEA6152247	Oscillospiraceae bacterium	RUG14109
GCA_902795805.1	Contig	CADBMN000000000	SAMEA6152241	Oscillospiraceae bacterium	RUG14103
GCA_902795885.1	Contig	CADBNC000000000	SAMEA6152251	Oscillospiraceae bacterium	RUG14113
GCA_902795005.1	Contig	CADBJK000000000	SAMEA6152165	Oscillospiraceae bacterium	RUG14027
GCA_902795225.1	Scaffold	CADBKH000000000	SAMEA6152180	Oscillospiraceae bacterium	RUG14042
GCA_902795185.1	Scaffold	CADBKI000000000	SAMEA6152187	Oscillospiraceae bacterium	RUG14049
GCA_902795195.1	Scaffold	CADBKF000000000	SAMEA6152184	Oscillospiraceae bacterium	RUG14046
GCA_902795095.1	Scaffold	CADBKB000000000	SAMEA6152179	Oscillospiraceae bacterium	RUG14041
GCA_902795125.1	Scaffold	CADBJY000000000	SAMEA6152171	Oscillospiraceae bacterium	RUG14033
GCA_902794585.1	Scaffold	CADBHV000000000	SAMEA6152123	Oscillospiraceae bacterium	RUG13985
GCA_902796055.1	Contig	CADBNM000000000	SAMEA6152267	Oscillospiraceae bacterium	RUG14129
GCA_902796135.1	Contig	CADBNV000000000	SAMEA6152277	Oscillospiraceae bacterium	RUG14139
GCA_902796075.1	Contig	CADBNN000000000	SAMEA6152270	Oscillospiraceae bacterium	RUG14132
GCA_902796315.1	Contig	CADBON000000000	SAMEA6152297	Oscillospiraceae bacterium	RUG14159
GCA_902796165.1	Contig	CADBOD000000000	SAMEA6152285	Oscillospiraceae bacterium	RUG14147
GCA_902796175.1	Contig	CADBOC000000000	SAMEA6152284	Oscillospiraceae bacterium	RUG14146
GCA_902796195.1	Contig	CADBOB000000000	SAMEA6152282	Oscillospiraceae bacterium	RUG14144
GCA_902796735.1	Contig	CADBPW000000000	SAMEA6152338	Oscillospiraceae bacterium	RUG14200
GCA_902796535.1	Contig	CADBPL000000000	SAMEA6152308	Oscillospiraceae bacterium	RUG14170
GCA_902796245.1	Contig	CADBOK000000000	SAMEA6152296	Oscillospiraceae bacterium	RUG14158
GCA_902796295.1	Contig	CADBOL000000000	SAMEA6152292	Oscillospiraceae bacterium	RUG14154
GCA_902797295.1	Contig	CADBSE000000000	SAMEA6152393	Oscillospiraceae bacterium	RUG14255
GCA_902796905.1	Contig	CADBQU000000000	SAMEA6152351	Oscillospiraceae bacterium	RUG14213
GCA_902794115.1	Scaffold	CADBGD000000000	SAMEA6152074	Oscillospiraceae bacterium	RUG13936
GCA_902793755.1	Scaffold	CADBES000000000	SAMEA6152046	Oscillospiraceae bacterium	RUG13908
GCA_902793285.1	Scaffold	CADBCV000000000	SAMEA6151993	Oscillospiraceae bacterium	RUG13855
GCA_902792195.1	Scaffold	CADAYT000000000	SAMEA6151888	Oscillospiraceae bacterium	RUG13751
GCA_902791885.1	Scaffold	CADAXO000000000	SAMEA6151857	Oscillospiraceae bacterium	RUG13720
GCA_902792905.1	Contig	CADBBH000000000	SAMEA6151958	Oscillospiraceae bacterium	RUG13820
GCA_902792985.1	Scaffold	CADBBT000000000	SAMEA6151967	Oscillospiraceae bacterium	RUG13829
GCA_902775105.1	Scaffold	CACYLC000000000	SAMEA6150172	Oscillospiraceae bacterium	RUG12037
GCA_902775565.1	Scaffold	CACYMP000000000	SAMEA6150216	Oscillospiraceae bacterium	RUG12081
GCA_902775355.1	Scaffold	CACYLY000000000	SAMEA6150191	Oscillospiraceae bacterium	RUG12056
GCA_902775995.1	Contig	CACYOP000000000	SAMEA6150269	Oscillospiraceae bacterium	RUG12134
GCA_902776595.1	Scaffold	CACYQP000000000	SAMEA6150320	Oscillospiraceae bacterium	RUG12185
GCA_902776445.1	Scaffold	CACYPX000000000	SAMEA6150303	Oscillospiraceae bacterium	RUG12168
GCA_902776845.1	Scaffold	CACYRM000000000	SAMEA6150336	Oscillospiraceae bacterium	RUG12201
GCA_902777585.1	Scaffold	CACYUR000000000	SAMEA6150423	Oscillospiraceae bacterium	RUG12287
GCA_902777215.1	Contig	CACYSW000000000	SAMEA6150386	Oscillospiraceae bacterium	RUG12251
GCA_902778685.1	Scaffold	CACYYL000000000	SAMEA6150526	Oscillospiraceae bacterium	RUG12390
GCA_902778525.1	Scaffold	CACYXZ000000000	SAMEA6150515	Oscillospiraceae bacterium	RUG12379
GCA_902778275.1	Scaffold	CACYXE000000000	SAMEA6150494	Oscillospiraceae bacterium	RUG12358
GCA_902778285.1	Scaffold	CACYXC000000000	SAMEA6150492	Oscillospiraceae bacterium	RUG12356
GCA_902778155.1	Scaffold	CACYWU000000000	SAMEA6150476	Oscillospiraceae bacterium	RUG12340
GCA_902779915.1	Scaffold	CACZDM000000000	SAMEA6150655	Oscillospiraceae bacterium	RUG12519
GCA_902780565.1	Scaffold	CACZGD000000000	SAMEA6150724	Oscillospiraceae bacterium	RUG12588
GCA_902779945.1	Contig	CACZDN000000000	SAMEA6150653	Oscillospiraceae bacterium	RUG12517
GCA_902779895.1	Contig	CACZDE000000000	SAMEA6150644	Oscillospiraceae bacterium	RUG12508
GCA_902779695.1	Scaffold	CACZCL000000000	SAMEA6150629	Oscillospiraceae bacterium	RUG12493
GCA_902780895.1	Contig	CACZHF000000000	SAMEA6150752	Oscillospiraceae bacterium	RUG12616
GCA_902780785.1	Scaffold	CACZGS000000000	SAMEA6150738	Oscillospiraceae bacterium	RUG12602
GCA_902781345.1	Scaffold	CACZIY000000000	SAMEA6150795	Oscillospiraceae bacterium	RUG12659
GCA_902781745.1	Scaffold	CACZKM000000000	SAMEA6150838	Oscillospiraceae bacterium	RUG12702
GCA_902782045.1	Scaffold	CACZLL000000000	SAMEA6150862	Oscillospiraceae bacterium	RUG12726
GCA_902783255.1	Contig	CACZQB000000000	SAMEA6150982	Oscillospiraceae bacterium	RUG12846
GCA_902783035.1	Contig	CACZPK000000000	SAMEA6150968	Oscillospiraceae bacterium	RUG12832
GCA_902782985.1	Contig	CACZPC000000000	SAMEA6150952	Oscillospiraceae bacterium	RUG12816
GCA_902782805.1	Contig	CACZON000000000	SAMEA6150944	Oscillospiraceae bacterium	RUG12808
GCA_902782845.1	Contig	CACZOP000000000	SAMEA6150943	Oscillospiraceae bacterium	RUG12807
GCA_902782755.1	Contig	CACZOF000000000	SAMEA6150937	Oscillospiraceae bacterium	RUG12801
GCA_902782725.1	Contig	CACZOD000000000	SAMEA6150930	Oscillospiraceae bacterium	RUG12794
GCA_902782615.1	Contig	CACZNU000000000	SAMEA6150922	Oscillospiraceae bacterium	RUG12786
GCA_902782235.1	Scaffold	CACZML000000000	SAMEA6150884	Oscillospiraceae bacterium	RUG12748
GCA_902785905.1	Scaffold	CADAAM000000000	SAMEA6151253	Oscillospiraceae bacterium	RUG13116
GCA_902785745.1	Scaffold	CACZZV000000000	SAMEA6151233	Oscillospiraceae bacterium	RUG13096
GCA_902785385.1	Scaffold	CACZYQ000000000	SAMEA6151208	Oscillospiraceae bacterium	RUG13071
GCA_902785205.1	Scaffold	CACZXR000000000	SAMEA6151184	Oscillospiraceae bacterium	RUG13047
GCA_902785115.1	Scaffold	CACZXQ000000000	SAMEA6151171	Oscillospiraceae bacterium	RUG13034
GCA_902785145.1	Scaffold	CACZXJ000000000	SAMEA6151169	Oscillospiraceae bacterium	RUG13032
GCA_902784975.1	Contig	CACZXC000000000	SAMEA6151161	Oscillospiraceae bacterium	RUG13025
GCA_902783645.1	Contig	CACZRO000000000	SAMEA6151024	Oscillospiraceae bacterium	RUG12888
GCA_902783495.1	Contig	CACZRE000000000	SAMEA6151012	Oscillospiraceae bacterium	RUG12876
GCA_902783825.1	Contig	CACZSJ000000000	SAMEA6151040	Oscillospiraceae bacterium	RUG12904
GCA_902784305.1	Scaffold	CACZUK000000000	SAMEA6151098	Oscillospiraceae bacterium	RUG12962
GCA_902784155.1	Contig	CACZTQ000000000	SAMEA6151068	Oscillospiraceae bacterium	RUG12932
GCA_902754915.1	Scaffold	CACVLH000000000	SAMEA6148137	Oscillospiraceae bacterium	RUG10005
GCA_902754875.1	Contig	CACVLA000000000	SAMEA6148143	Oscillospiraceae bacterium	RUG10011
GCA_902757005.1	Contig	CACVTD000000000	SAMEA6148347	Oscillospiraceae bacterium	RUG10214
GCA_902757025.1	Scaffold	CACVTL000000000	SAMEA6148358	Oscillospiraceae bacterium	RUG10225
GCA_902755405.1	Scaffold	CACVMX000000000	SAMEA6148181	Oscillospiraceae bacterium	RUG10048
GCA_902755455.1	Contig	CACVNO000000000	SAMEA6148196	Oscillospiraceae bacterium	RUG10063
GCA_902756115.1	Scaffold	CACVPT000000000	SAMEA6148264	Oscillospiraceae bacterium	RUG10131
GCA_902755885.1	Scaffold	CACVOX000000000	SAMEA6148234	Oscillospiraceae bacterium	RUG10101
GCA_902755775.1	Scaffold	CACVOP000000000	SAMEA6148228	Oscillospiraceae bacterium	RUG10095
GCA_902755725.1	Scaffold	CACVOI000000000	SAMEA6148231	Oscillospiraceae bacterium	RUG10098
GCA_902755665.1	Scaffold	CACVOH000000000	SAMEA6148218	Oscillospiraceae bacterium	RUG10085
GCA_902759805.1	Contig	CACWEF000000000	SAMEA6148636	Oscillospiraceae bacterium	RUG10503
GCA_902759825.1	Contig	CACWEA000000000	SAMEA6148633	Oscillospiraceae bacterium	RUG10500
GCA_902758975.1	Scaffold	CACWAU000000000	SAMEA6148544	Oscillospiraceae bacterium	RUG10411
GCA_902762875.1	Contig	CACWPS000000000	SAMEA6148940	Oscillospiraceae bacterium	RUG10806
GCA_902762845.1	Scaffold	CACWPV000000000	SAMEA6148937	Oscillospiraceae bacterium	RUG10803
GCA_902762595.1	Scaffold	CACWOT000000000	SAMEA6148909	Oscillospiraceae bacterium	RUG10776
GCA_902761265.1	Scaffold	CACWJV000000000	SAMEA6148779	Oscillospiraceae bacterium	RUG10646
GCA_902761055.1	Contig	CACWIS000000000	SAMEA6148759	Oscillospiraceae bacterium	RUG10626
GCA_902760845.1	Scaffold	CACWHX000000000	SAMEA6148736	Oscillospiraceae bacterium	RUG10603
GCA_902761635.1	Scaffold	CACWLG000000000	SAMEA6148817	Oscillospiraceae bacterium	RUG10684
GCA_902761415.1	Scaffold	CACWKG000000000	SAMEA6148792	Oscillospiraceae bacterium	RUG10659
GCA_902767395.1	Contig	CACXHI000000000	SAMEA6149393	Oscillospiraceae bacterium	RUG11259
GCA_902767915.1	Scaffold	CACXJE000000000	SAMEA6149445	Oscillospiraceae bacterium	RUG11311
GCA_902767265.1	Contig	CACXGT000000000	SAMEA6149378	Oscillospiraceae bacterium	RUG11244
GCA_902767145.1	Contig	CACXGG000000000	SAMEA6149368	Oscillospiraceae bacterium	RUG11234
GCA_902768755.1	Scaffold	CACXMF000000000	SAMEA6149531	Oscillospiraceae bacterium	RUG11397
GCA_902768805.1	Scaffold	CACXMX000000000	SAMEA6149532	Oscillospiraceae bacterium	RUG11398
GCA_902769255.1	Scaffold	CACXOM000000000	SAMEA6149596	Oscillospiraceae bacterium	RUG11462
GCA_902771075.1	Scaffold	CACXVL000000000	SAMEA6149771	Oscillospiraceae bacterium	RUG11636
GCA_902770995.1	Scaffold	CACXVD000000000	SAMEA6149760	Oscillospiraceae bacterium	RUG11625
GCA_902772105.1	Scaffold	CACXZI000000000	SAMEA6149865	Oscillospiraceae bacterium	RUG11730
GCA_902772625.1	Contig	CACYBP000000000	SAMEA6149932	Oscillospiraceae bacterium	RUG11797
GCA_902772335.1	Scaffold	CACYAP000000000	SAMEA6149894	Oscillospiraceae bacterium	RUG11759
GCA_902773585.1	Contig	CACYFA000000000	SAMEA6150020	Oscillospiraceae bacterium	RUG11885
GCA_902773485.1	Contig	CACYEQ000000000	SAMEA6150008	Oscillospiraceae bacterium	RUG11873
GCA_902773375.1	Contig	CACYEH000000000	SAMEA6149998	Oscillospiraceae bacterium	RUG11863
GCA_902773255.1	Contig	CACYDX000000000	SAMEA6149983	Oscillospiraceae bacterium	RUG11848
GCA_902773145.1	Contig	CACYDJ000000000	SAMEA6149982	Oscillospiraceae bacterium	RUG11847
GCA_902772935.1	Contig	CACYCR000000000	SAMEA6149961	Oscillospiraceae bacterium	RUG11826
GCA_902774165.1	Scaffold	CACYHJ000000000	SAMEA6150076	Oscillospiraceae bacterium	RUG11941
GCA_902774015.1	Scaffold	CACYHB000000000	SAMEA6150064	Oscillospiraceae bacterium	RUG11929
GCA_902774035.1	Scaffold	CACYHA000000000	SAMEA6150063	Oscillospiraceae bacterium	RUG11928
GCA_902766405.1	Contig	CACXDT000000000	SAMEA6149294	Oscillospiraceae bacterium	RUG11160
GCA_902766465.1	Contig	CACXDO000000000	SAMEA6149299	Oscillospiraceae bacterium	RUG11165
GCA_902766455.1	Contig	CACXDN000000000	SAMEA6149298	Oscillospiraceae bacterium	RUG11164
GCA_902766855.1	Contig	CACXFE000000000	SAMEA6149337	Oscillospiraceae bacterium	RUG11203
GCA_902766785.1	Contig	CACXEO000000000	SAMEA6149327	Oscillospiraceae bacterium	RUG11193
GCA_902766755.1	Contig	CACXEV000000000	SAMEA6149324	Oscillospiraceae bacterium	RUG11190
GCA_902766355.1	Contig	CACXDG000000000	SAMEA6149291	Oscillospiraceae bacterium	RUG11157
GCA_902766215.1	Contig	CACXCV000000000	SAMEA6149276	Oscillospiraceae bacterium	RUG11142
GCA_902765995.1	Contig	CACXCE000000000	SAMEA6149257	Oscillospiraceae bacterium	RUG11123
GCA_902765975.1	Contig	CACXBO000000000	SAMEA6149249	Oscillospiraceae bacterium	RUG11115
GCA_902765915.1	Contig	CACXBS000000000	SAMEA6149247	Oscillospiraceae bacterium	RUG11113
GCA_902765175.1	Scaffold	CACWYN000000000	SAMEA6149170	Oscillospiraceae bacterium	RUG11036
GCA_902765825.1	Scaffold	CACXBE000000000	SAMEA6149240	Oscillospiraceae bacterium	RUG11106
GCA_902765595.1	Contig	CACXAQ000000000	SAMEA6149220	Oscillospiraceae bacterium	RUG11086
GCA_902765025.1	Scaffold	CACWYC000000000	SAMEA6149158	Oscillospiraceae bacterium	RUG11024
GCA_902764825.1	Contig	CACWXL000000000	SAMEA6149138	Oscillospiraceae bacterium	RUG11004
GCA_902764445.1	Contig	CACWVX000000000	SAMEA6149100	Oscillospiraceae bacterium	RUG10966
GCA_902769425.1	Scaffold	CACXOX000000000	SAMEA6149602	Ruminococcus bromii	RUG11468
GCA_902764485.1	Scaffold	CACWWH000000000	SAMEA6149110	Ruminococcus flavefaciens	RUG10976
GCA_902760115.1	Contig	CACWFD000000000	SAMEA6148666	Ruminococcus flavefaciens	RUG10533
GCA_902756245.1	Scaffold	CACVQO000000000	SAMEA6148282	Ruminococcus flavefaciens	RUG10149
GCA_902755565.1	Scaffold	CACVNT000000000	SAMEA6148201	Ruminococcus flavefaciens	RUG10068
GCA_902756855.1	Scaffold	CACVSO000000000	SAMEA6148338	Ruminococcus flavefaciens	RUG10205
GCA_902756615.1	Scaffold	CACVRV000000000	SAMEA6148317	Ruminococcus flavefaciens	RUG10184
GCA_902760805.1	Scaffold	CACWHY000000000	SAMEA6148735	Ruminococcus flavefaciens	RUG10602
GCA_902760575.1	Scaffold	CACWHH000000000	SAMEA6148716	Ruminococcus flavefaciens	RUG10583
GCA_902760585.1	Scaffold	CACWHG000000000	SAMEA6148709	Ruminococcus flavefaciens	RUG10576
GCA_902762695.1	Scaffold	CACWPH000000000	SAMEA6148926	Ruminococcus flavefaciens	RUG10792
GCA_902762855.1	Scaffold	CACWPR000000000	SAMEA6148936	Ruminococcus flavefaciens	RUG10802
GCA_902803775.1	Contig	CADCRF000000000	SAMEA6153039	Ruminococcus flavefaciens	RUG14900
